Year,113 Cause Name,Cause Name,Deaths,Age-adjusted Death Rate
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,710,38.5
1999,All Causes,All causes,15082,935.9
1999,Alzheimer's disease (G30),Alzheimer's disease,174,13.6
1999,Cerebrovascular diseases (I60-I69),Stroke,882,59.4
1999,Chronic lower respiratory diseases (J40-J47),CLRD,1029,64.7
1999,Diabetes mellitus (E10-E14),Diabetes,286,17.2
1999,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,4231,274.3
1999,Influenza and pneumonia (J09-J18),Influenza and pneumonia,319,22.2
1999,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,404,21.3
1999,Malignant neoplasms (C00-C97),Cancer,3556,206.7
1999,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,298,19.2
2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,730,38.7
2000,All Causes,All causes,15261,918.7
2000,Alzheimer's disease (G30),Alzheimer's disease,195,14.5
2000,Cerebrovascular diseases (I60-I69),Stroke,872,56.5
2000,Chronic lower respiratory diseases (J40-J47),CLRD,989,61.3
2000,Diabetes mellitus (E10-E14),Diabetes,276,15.4
2000,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,4089,255.3
2000,Influenza and pneumonia (J09-J18),Influenza and pneumonia,320,21.5
2000,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,400,20.2
2000,Malignant neoplasms (C00-C97),Cancer,3763,213.6
2000,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,329,21.0
2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,739,37.0
2001,All Causes,All causes,16285,923.5
2001,Alzheimer's disease (G30),Alzheimer's disease,211,14.9
2001,Cerebrovascular diseases (I60-I69),Stroke,913,55.4
2001,Chronic lower respiratory diseases (J40-J47),CLRD,1136,65.6
